 Venezuela,0.01,1, Gibraltar,100,5,Mali,56,1,Rank,Country,2016 EPI Score,, ,Education,EduRank,inovation,InoRank,Infrastructure,InfaRank,ICT access,ICTRank
 Uganda,0.03,1, Isle of Man,99.93,5,Benin,53,1,180,Somalia,27.66,1,Zambia,127,1,124,1,116,1,114,1
 Cuba,0.08,1, Barbados,98.57,5,Chad,52,1,179,Eritrea,36.73,1,Bangladesh,126,1,114,1,95,2,109,1
 Georgia,0.14,1, Republic of Ireland,98.37,5,Guinea-Bissau,51,1,178,Madagascar,37.1,1,Azerbaijan,125,1,82,2,50,4,57,3
 Tanzania,0.26,1, Marshall Islands,98.33,5,Somalia,49,1,177,Niger,37.48,1,Guinea,124,1,126,1,121,1,120,1
 Kyrgyzstan,0.32,1, New Zealand,97.82,5,Solomon Islands,48,1,176,Afghanistan,37.5,1,Uganda,123,1,102,2,84,2,122,1
 Democratic Republic of the Congo,0.33,1, United Kingdom,97.74,5,Cameroon,47,1,175,Chad,37.83,1,Madagascar,122,1,111,1,125,1,121,1
 Liberia,0.33,1, Jamaica,97.64,5,Zambia,41,1,174,Mali,41.48,1,"Tanzania, United Republic of",121,1,96,2,100,2,117,1
 Guinea-Bissau,0.4,1, Australia,97,5,Malawi,39,1,173,Bangladesh,41.77,1,Pakistan,120,1,113,1,109,1,104,1
 Solomon Islands,0.41,1, Bermuda,96.92,5,Burkina Faso,39,1,172,Mozambique,41.82,1,Cambodia,119,1,101,2,113,1,99,2
 The Gambia,0.44,1, Nauru,96.26,5,Democratic Republic of the Congo,38,1,171,Dem. Rep. Congo,42.05,1,Burkina Faso,118,1,120,1,118,1,112,1
 Malawi,0.5,1, U.S. Virgin Islands,95.97,5,Mauritania,38,1,170,Sudan,42.25,1,Yemen,117,1,127,1,126,1,116,1
 Kenya,0.54,1, United States,95.5,5,Nepal,37,1,169,Haiti,43.28,1,Ethiopia,116,1,110,1,107,1,124,1
 Swaziland,0.54,1, Saint Vincent and the Grenadines,95,5,Sierra Leone,37,1,168,Burundi,43.37,1,Dominican Republic,115,1,79,2,78,2,94,2
