Afghanistan,AFG,#bdc9e1,,,,,,
Albania,ALB,#bdc9e1,,,,,,
Algeria,DZA,#2b8cbe,,,,,,
Andorra,AND,#f1eef6,,,,,,
Angola,AGO,#2b8cbe,,,,,,#f1eef6
Anguilla,AIA,#f1eef6,,,,,,#bdc9e1
Antigua and Barbuda,ATG,#74a9cf,,,,,,#74a9cf
Argentina,ARG,#045a8d,,,,,,#2b8cbe
Armenia,ARM,#bdc9e1,,,,,,#045a8d
Aruba,ABW,#74a9cf,,,,,,
Australia,AUS,#2b8cbe,,,,,,
Austria,AUT,#74a9cf,,,,,,
Azerbaijan,AZE,#bdc9e1,,,,,,
Bahamas,BHS,#f1eef6,,,,,,
Bahrain,BHR,#f1eef6,,,,,,
Bangladesh,BGD,#74a9cf,,,,,,
Barbados,BRB,#74a9cf,,,,,,
Belarus,BLR,#bdc9e1,,,,,,
Belgium,BEL,#045a8d,,,,,,
Benin,BEN,#2b8cbe,,,,,,
Bermuda,BMU,#f1eef6,,,,,,
Bolivia,BOL,#74a9cf,,,,,,
"Bonaire, Saint Eustatius and Saba",BES,#74a9cf,,,,,,
Bosnia and Herzegovina,BIH,#f1eef6,,,,,,
Botswana,BWA,#74a9cf,,,,,,
Brazil,BRA,#045a8d,,,,,,
Brunei Darussalam,BRN,#bdc9e1,,,,,,
Bulgaria,BGR,#f1eef6,,,,,,
Burkina Faso,BFA,#2b8cbe,,,,,,
Burundi,BDI,#2b8cbe,,,,,,
Cambodia,KHM,#bdc9e1,,,,,,
Cameroon,CMR,#045a8d,,,,,,
Canada,CAN,#2b8cbe,,,,,,
Cayman Islands,CYM,#f1eef6,,,,,,
Chile,CHL,#2b8cbe,,,,,,
China,CHN,#74a9cf,,,,,,
Colombia,COL,#045a8d,,,,,,
Congo (Democratic Republic of the),COD,#045a8d,,,,,,
Costa Rica,CRI,#2b8cbe,,,,,,
Croatia,HRV,#bdc9e1,,,,,,
Curacao,CUW,#74a9cf,,,,,,
Cyprus,CYP,#bdc9e1,,,,,,
Czech Republic,CZE,#bdc9e1,,,,,,
Denmark,DNK,#74a9cf,,,,,,
Djibouti,DJI,#74a9cf,,,,,,
Dominica,DMA,#74a9cf,,,,,,
Dominican Republic,DOM,#2b8cbe,,,,,,
Ecuador,ECU,#74a9cf,,,,,,
Egypt,EGY,#74a9cf,,,,,,
El Salvador,SLV,#2b8cbe,,,,,,
Estonia,EST,#bdc9e1,,,,,,
Ethiopia,ETH,#2b8cbe,,,,,,
Fiji,FJI,#bdc9e1,,,,,,
Finland,FIN,#bdc9e1,,,,,,
France,FRA,#045a8d,,,,,,
Gabon,GAB,#2b8cbe,,,,,,
Gambia,GMB,#045a8d,,,,,,
Georgia,GEO,#bdc9e1,,,,,,
Germany,DEU,#2b8cbe,,,,,,
Ghana,GHA,#74a9cf,,,,,,
Gibraltar,GIB,#f1eef6,,,,,,
Greece,GRC,#2b8cbe,,,,,,
Grenada,GRD,#2b8cbe,,,,,,
Guatemala,GTM,#74a9cf,,,,,,
Guernsey,GGY,#f1eef6,,,,,,
Honduras,HND,#74a9cf,,,,,,
Hong Kong SAR,HKG,#bdc9e1,,,,,,
Hungary,HUN,#f1eef6,,,,,,
Iceland,ISL,#bdc9e1,,,,,,
India,IND,#2b8cbe,,,,,,
Indonesia,IDN,#74a9cf,,,,,,
Iraq,IRQ,#bdc9e1,,,,,,
Ireland,IRL,#bdc9e1,,,,,,
Isle of Man,IMN,#f1eef6,,,,,,
Israel,ISR,#74a9cf,,,,,,
Italy,ITA,#74a9cf,,,,,,
Ivory Coast,CIV,#74a9cf,,,,,,
Jamaica,JAM,#74a9cf,,,,,,
Japan,JPN,#045a8d,,,,,,
Jersey,JEY,#bdc9e1,,,,,,
Jordan,JOR,#bdc9e1,,,,,,
Kazakhstan,KAZ,#bdc9e1,,,,,,
Kenya,KEN,#2b8cbe,,,,,,
"Korea, Republic of",KOR,#74a9cf,,,,,,
Kuwait,KWT,#bdc9e1,,,,,,
Kyrgyzstan,KGZ,#f1eef6,,,,,,
Latvia,LVA,#bdc9e1,,,,,,
Lebanon,LBN,#bdc9e1,,,,,,
Libya,LBY,#bdc9e1,,,,,,
Liechtenstein,LIE,#bdc9e1,,,,,,
Lithuania,LTU,#bdc9e1,,,,,,
Luxembourg,LUX,#2b8cbe,,,,,,
Macau,MAC,#bdc9e1,,,,,,
Macedonia,MKD,#f1eef6,,,,,,
Madagascar,MDG,#bdc9e1,,,,,,
Malawi,MWI,#2b8cbe,,,,,,
Malaysia,MYS,#74a9cf,,,,,,
Malta,MLT,#045a8d,,,,,,
Mauritius,MUS,#bdc9e1,,,,,,
Mexico,MEX,#2b8cbe,,,,,,
Moldova,MDA,#bdc9e1,,,,,,
Monaco,MCO,#045a8d,,,,,,
Mongolia,MNG,#74a9cf,,,,,,
Montenegro,MNE,#f1eef6,,,,,,
Morocco,MAR,#045a8d,,,,,,
Mozambique,MOZ,#045a8d,,,,,,
Myanmar,MMR,#74a9cf,,,,,,
Namibia,NAM,#045a8d,,,,,,
Netherlands,NLD,#74a9cf,,,,,,
New Zealand,NZL,#2b8cbe,,,,,,
Nicaragua,NIC,#2b8cbe,,,,,,
Nigeria,NER,#2b8cbe,,,,,,
Norway,NOR,#74a9cf,,,,,,
Oman,OMN,#bdc9e1,,,,,,
Pakistan,PAK,#045a8d,,,,,,
Palestinian Territory,PSE,#bdc9e1,,,,,,
Panama,PAN,#74a9cf,,,,,,
Papua New Guinea,PNG,#2b8cbe,,,,,,
Paraguay,PRY,#f1eef6,,,,,,
Peru,PER,#2b8cbe,,,,,,
Philippines,PHL,#2b8cbe,,,,,,
Poland,POL,#bdc9e1,,,,,,
Portugal,PRT,#74a9cf,,,,,,
Qatar,QAT,#f1eef6,,,,,,
Romania,ROU,#bdc9e1,,,,,,
Russia,RUS,#bdc9e1,,,,,,
Rwanda,RWA,#2b8cbe,,,,,,
Saint Kitts and Nevis,KNA,#045a8d,,,,,,
Saint Lucia,LCA,#2b8cbe,,,,,,
Saint Vincent and the Grenadines,VCT,#045a8d,,,,,,
Samoa,WSM,#2b8cbe,,,,,,
Saudi Arabia,SAU,#bdc9e1,,,,,,
Senegal,SEN,#2b8cbe,,,,,,
Serbia,SRB,#bdc9e1,,,,,,
Sierra Leone,SLE,#2b8cbe,,,,,,
Singapore,SGP,#bdc9e1,,,,,,
Sint Maarten (Dutch part),SXM,#045a8d,,,,,,
Slovakia,SVK,#74a9cf,,,,,,
Slovenia,SVN,#bdc9e1,,,,,,
Solomon Islands,SLB,#2b8cbe,,,,,,
South Africa,ZAF,#2b8cbe,,,,,,
Spain,ESP,#74a9cf,,,,,,
Sri Lanka,LKA,#2b8cbe,,,,,,
St Maarten,SXM,#045a8d,,,,,,
Sudan,SDN,#045a8d,,,,,,
Suriname,SUR,#045a8d,,,,,,
Swaziland,SWZ,#2b8cbe,,,,,,
Sweden,SWE,#74a9cf,,,,,,
Switzerland,CHE,#bdc9e1,,,,,,
Syria,SYR,#2b8cbe,,,,,,
Taiwan,TWN,#bdc9e1,,,,,,
Tanzania,TZA,#2b8cbe,,,,,,
Thailand,THA,#bdc9e1,,,,,,
Trinidad and Tobago,TTO,#74a9cf,,,,,,
Tunisia,TUN,#74a9cf,,,,,,
Turkey,TUR,#bdc9e1,,,,,,
Turkmenistan,TKM,#bdc9e1,,,,,,
Turks and Caicos Islands,TCA,#f1eef6,,,,,,
Uganda,UGA,#2b8cbe,,,,,,
Ukraine,UKR,#bdc9e1,,,,,,
United Arab Emirates,ARE,#045a8d,,,,,,
United Kingdom,GBR,#bdc9e1,,,,,,
United States,USA,#045a8d,,,,,,
Uruguay,URY,#74a9cf,,,,,,
Uzbekistan,UZB,#f1eef6,,,,,,
Vanuatu,VUT,#f1eef6,,,,,,
Venezuela,VEN,#045a8d,,,,,,
Vietnam,VNM,#bdc9e1,,,,,,
Yemen,YEM,#bdc9e1,,,,,,
Zambia,ZMB,#045a8d,,,,,,
Zimbabwe,ZWE,#74a9cf,,,,,,
