"COU","Country","CORP_TAX","Corporate income tax rate","YEA","Year","Value","Flag Codes","Flags"
"AUS","Australia","CIT_RATE","Corporate income tax rate","2000","2000",34,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2001","2001",30,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2002","2002",30,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2003","2003",30,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2004","2004",30,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2005","2005",30,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2006","2006",30,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2007","2007",30,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2008","2008",30,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2009","2009",30,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2010","2010",30,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2011","2011",30,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2012","2012",30,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2013","2013",30,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2014","2014",30,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2015","2015",30,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2016","2016",30,,
"AUS","Australia","CIT_RATE","Corporate income tax rate","2017","2017",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2000","2000",34,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2001","2001",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2002","2002",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2003","2003",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2004","2004",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2005","2005",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2006","2006",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2007","2007",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2008","2008",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2009","2009",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2010","2010",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2011","2011",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2012","2012",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2013","2013",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2014","2014",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2015","2015",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2016","2016",30,,
"AUS","Australia","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2017","2017",30,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2000","2000",34,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2001","2001",30,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2002","2002",30,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2003","2003",30,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2004","2004",30,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2005","2005",30,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2006","2006",30,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2007","2007",30,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2008","2008",30,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2009","2009",30,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2010","2010",30,,
