Aruba	ABW	"Listed domestic companies, total"	CM.MKT.LDOM.NO		1																																																							
Afghanistan	AFG	"Listed domestic companies, total"	CM.MKT.LDOM.NO		2																																																							
Angola	AGO	"Listed domestic companies, total"	CM.MKT.LDOM.NO		3																																																							
Albania	ALB	"Listed domestic companies, total"	CM.MKT.LDOM.NO		4																																																							
Andorra	AND	"Listed domestic companies, total"	CM.MKT.LDOM.NO		5																																																							
Arab World	ARB	"Listed domestic companies, total"	CM.MKT.LDOM.NO		6																																										1506	1598	1637	1539		1249	1207	1133	1338	1333	1355	1184	1188	1187
United Arab Emirates	ARE	"Listed domestic companies, total"	CM.MKT.LDOM.NO		7																																										28	32	55	55	60	103	104	104	108	107	117	120	125	125
Argentina	ARG	"Listed domestic companies, total"	CM.MKT.LDOM.NO		8														321	308	302	295	295	277	262	247	237	235	226	216	205	193	183	178	169	170	165	156	149	147	136	131	125	122	116	110	106	103	100	101	106	107	101	101	99	101	97	95	93	93
Armenia	ARM	"Listed domestic companies, total"	CM.MKT.LDOM.NO		9																																																							
American Samoa	ASM	"Listed domestic companies, total"	CM.MKT.LDOM.NO		10																																																							
Antigua and Barbuda	ATG	"Listed domestic companies, total"	CM.MKT.LDOM.NO		11																																																							
Australia	AUS	"Listed domestic companies, total"	CM.MKT.LDOM.NO		12														1319	1229	1185	1116	1011	1007	982	931	930	1009	1028	1162	1427	1393	1258	1089	968	1038	1070	1144	1129	1135	1159	1162	1217	1333	1334	1355	1405	1514	1643	1751	1913	1924	1882	1913	1983	1959	1955	1967	1989	1969
Austria	AUT	"Listed domestic companies, total"	CM.MKT.LDOM.NO		13														76	74	71	68	67	66	63	62	62	63	64	74	75	80	87	99	103	112	111	111	109	106	101	96	97	97	99	109	104	100	92	96	102	101	97	89	88	84	82	82	79	71
Azerbaijan	AZE	"Listed domestic companies, total"	CM.MKT.LDOM.NO		14																																				1	2	2																	
Burundi	BDI	"Listed domestic companies, total"	CM.MKT.LDOM.NO		15																																																							
Belgium	BEL	"Listed domestic companies, total"	CM.MKT.LDOM.NO		16														290	277	253	239	231	225	218	212	204	197	192	191	192	186	190	182	183	171	165	162	150	143	138	156	278	265	275	256	250	235	222	205	175	171	165	161	151	147	117	113	117	116
Benin	BEN	"Listed domestic companies, total"	CM.MKT.LDOM.NO		17																																																							
Burkina Faso	BFA	"Listed domestic companies, total"	CM.MKT.LDOM.NO		18																																																							
Bangladesh	BGD	"Listed domestic companies, total"	CM.MKT.LDOM.NO		19																																143	157	231	302	341	355	348	364	163			185	195	199	211	221	197	192	433	453	481	274	543	557
Bulgaria	BGR	"Listed domestic companies, total"	CM.MKT.LDOM.NO		20																																8	13	15	9		18	28	23	404	351	326	332	331	347	369	404	398	390	393	387	381			
Bahrain	BHR	"Listed domestic companies, total"	CM.MKT.LDOM.NO		21																																		35	35	38	38	37	36	36	11	38	38	40	43	44	45	44	44	44	43	43	44	44	43
"Bahamas, The"	BHS	"Listed domestic companies, total"	CM.MKT.LDOM.NO		22																																																							
Bosnia and Herzegovina	BIH	"Listed domestic companies, total"	CM.MKT.LDOM.NO		23																																																							
Belarus	BLR	"Listed domestic companies, total"	CM.MKT.LDOM.NO		24																																																					67	62	55
Belize	BLZ	"Listed domestic companies, total"	CM.MKT.LDOM.NO		25																																																							
Bermuda	BMU	"Listed domestic companies, total"	CM.MKT.LDOM.NO		26																																		28	27	26	25	22	22	22	22	22	21	19	16	16	16	16	14	13	13	13	14	14	13
Bolivia	BOL	"Listed domestic companies, total"	CM.MKT.LDOM.NO		27																																																							
Brazil	BRA	"Listed domestic companies, total"	CM.MKT.LDOM.NO		28														202	202	200	201	404	426	477	478	505	522	541	592	590	589	592	579	570	565	550	548	543	550	544	527	478	457	426	396	367	357	342	347	395	383	377	373	366	353	352	351	345	338
