 Afghanistan,884,3001,40,0.43,1.44,1.552,2014
 Albania,2320,5226,40,1.12,2.51,0.462,42860
 Algeria,1974,5908,40,0.95,2.84,0.402,40909
 Andorra,13444,10402,40,6.46,5,0.28,42736
 Angola,1625,1961,44,0.71,0.86,0.266,41791
 Antigua and Barbuda,6317,7661,40,3.04,3.68,0.334,41944
 Argentina,7804,20627,48,3.13,8.26,0.915,42917
 Armenia,1374,3265,40,0.66,1.57,0.389,42186
 Australia,26862,22924,38,13.59,11.6,0.504,42917
 Austria,,,40,,,,2016
 Azerbaijan,978,4860,40,0.47,2.34,0.274,43101
 Bahrain,,,48,,,,2016
 Bangladesh,1262,3235,48,0.51,1.3,0.971,41609
 Barbados,6500,5292,40,3.13,2.54,0.323,40969
 Belarus,2696,6132,40,1.3,2.95,0.347,42736
 Belgium,20363,20056,38,10.31,10.15,0.456,41365
 Belize,3861,6737,45,1.65,2.88,0.79,41055
 Benin,809,2102,40,0.39,1.01,0.996,41730
 Bhutan,670,2082,40,0.32,1,0.258,41671
 Bolivia,3396,6990,48,1.36,2.8,1.016,42370
 Bosnia and Herzegovina,2172,4575,40,1.04,2.2,0.435,2015
 Botswana,735,1442,48,0.29,0.58,0.091,42522
 Brazil,3491,5962,44,1.53,2.61,0.388,42736
 Brunei,,,48,,,,2016
 Bulgaria,3259,7514,40,1.57,3.61,0.429,43101
 Burkina Faso,701,1877,40,0.34,0.9,1.131,41000
 Burundi,,,40,,,,2016
 Cambodia,,,48,,,,42370
 Cameroon,734,1812,40,0.35,0.87,0.58,41850
 Canada,17027,17022,40,8.19,8.18,0.384,43009
 Cape Verde,1565,3324,44,0.68,1.45,0.497,2018
 Central African Republic,767,1455,40,0.37,0.7,2.436,2011
 Chad,1214,3406,39,0.6,1.68,1.569,40834
 Chile,4680,7253,45,2,3.1,0.325,42736
 China,1806,3139,40,0.87,1.51,0.22,42686
 Colombia,2899,6853,48,1.16,2.75,0.497,42736
 Comoros,1484,3070,40,0.71,1.48,2.022,2015
 Costa Rica,4581,6603,48,1.84,2.65,0.429,42186
 Croatia,6065,9873,40,2.92,4.75,0.451,43101
 Cuba,147,181,40,0.05,0.08,0.004,38473
 Cyprus,,,48,,,,2015
 Czech Republic,6230,10510,40,3,5.05,0.327,43101
 Côte d'Ivoire,741,1858,40,0.36,0.89,0.532,1994
 Democratic Republic of the Congo,432,762,45[71],0.18,0.33,0.974,39814
 Denmark,,,37.5,,,,2017
 Djibouti,,,48,,,,2015
 Dominica,3081,4180,40,1.48,2.01,0.371,39600
