Country	Country Cod	Series	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Afghanistan	AFG	Political Stability and Absence of Violence/Terrorism: Estimate	-2.035389185	-2.197808743	-2.296178579	-2.070934296	-2.221301556	-2.41058135	-2.690477371	-2.712688923	-2.579151869	-2.502059698	-2.418561459	-2.519349098	-2.411068439	-2.571221828	-2.749167442
Afghanistan	AFG	Control of Corruption: Estimate	-1.263365984	-1.351041913	-1.345281363	-1.443609238	-1.432889819	-1.587331414	-1.638286591	-1.534796	-1.635723472	-1.57917881	-1.41988802	-1.436761141	-1.354784489	-1.341970086	-1.563735127
Afghanistan	AFG	Government Effectiveness: Estimate	-1.567973137	-1.082487702	-0.894050717	-1.210829139	-1.430342913	-1.403351665	-1.496088862	-1.483899474	-1.454683423	-1.448487759	-1.360139608	-1.384929776	-1.331395626	-1.322988749	-1.222106338
Afghanistan	AFG	Regulatory Quality: Estimate	-1.804449439	-1.430002451	-1.505863309	-1.637369037	-1.667901993	-1.688256979	-1.621582627	-1.674311161	-1.532860994	-1.540586472	-1.193117857	-1.19313705	-1.118182182	-0.997371137	-1.327919364
Afghanistan	AFG	Rule of Law: Estimate	-1.670823216	-1.553828716	-1.69714272	-1.658668041	-1.863188624	-1.829666138	-1.864379525	-1.847092271	-1.845436454	-1.896631718	-1.643164515	-1.597314	-1.445647597	-1.504045248	-1.616429567
Albania	ALB	Political Stability and Absence of Violence/Terrorism: Estimate	-0.294578075	-0.308824211	-0.428377599	-0.507140517	-0.508332431	-0.203224033	-0.030818928	-0.045248605	-0.191482902	-0.282379419	-0.143631592	0.091929786	0.485986233	0.34612906	0.257720143
Albania	ALB	Control of Corruption: Estimate	-0.868602037	-0.812275112	-0.699198425	-0.786193073	-0.803845048	-0.687789023	-0.593706608	-0.538495123	-0.525077939	-0.683008373	-0.72650075	-0.698603272	-0.548198819	-0.479021192	-0.397567093
Albania	ALB	Government Effectiveness: Estimate	-0.533348322	-0.538209379	-0.415867686	-0.659452379	-0.523602188	-0.406624109	-0.356763661	-0.257898152	-0.282755494	-0.208206981	-0.267799705	-0.316919863	-0.085557945	0.010404494	-0.000573237
Albania	ALB	Regulatory Quality: Estimate	-0.224693567	-0.447581381	-0.165745333	-0.371873468	-0.101760454	0.060612418	0.147539735	0.238284081	0.229477361	0.23293598	0.199168846	0.209718719	0.221990347	0.186667815	0.188962236
Albania	ALB	Rule of Law: Estimate	-0.762146771	-0.723140359	-0.68777281	-0.736335754	-0.684768975	-0.646295726	-0.588694632	-0.500429869	-0.407375962	-0.455371141	-0.520316482	-0.51801759	-0.337862045	-0.328226447	-0.347467512
Algeria	DZA	Political Stability and Absence of Violence/Terrorism: Estimate	-1.633233786	-1.753627181	-1.359521031	-0.915213346	-1.126452804	-1.148360014	-1.093989491	-1.197078228	-1.259367585	-1.360560656	-1.325043321	-1.202371478	-1.190535188	-1.090159774	-1.139281988
Algeria	DZA	Control of Corruption: Estimate	-0.875681102	-0.692261159	-0.67947799	-0.482172012	-0.521335125	-0.559928894	-0.594569385	-0.577883422	-0.524849832	-0.544584811	-0.503217578	-0.473484129	-0.600028992	-0.662879586	-0.691359282
